Model,Parameters,PreTraining_Steps,FineTuning_Steps,Min_Eval_Loss,Epochs
pythia,31000000,4000,16,3.8380775451660156,947.0
pythia,2800000000,8000,128,2.279252290725708,75.0
pythia,1000000000,64000,2,2.9187047481536865,38.0
pythia,1400000000,2000,64,2.8652255535125732,94.0
pythia,2800000000,64000,2,2.7773277759552,32.0
pythia,31000000,8000,64,3.459963083267212,999.0
pythia,14000000,1000,1,5.911194324493408,185.0
pythia,2800000000,8000,32,2.541858673095703,52.0
pythia,31000000,4000,64,3.601266622543335,1000.0
pythia,1400000000,2000,1,3.6744959354400635,32.0
pythia,1400000000,64000,1,2.8963496685028076,41.0
pythia,410000000,16000,2,3.152320146560669,62.0
pythia,410000000,1000,8,4.273444652557373,55.0
pythia,2800000000,2000,2,3.5207600593566895,28.0
pythia,2800000000,2000,8,3.2665882110595703,36.0
pythia,2800000000,4000,8,2.9307258129119873,38.0
pythia,31000000,2000,16,4.100646018981934,985.0
pythia,70000000,2000,4,3.965527057647705,269.0
pythia,70000000,64000,32,3.825418472290039,8.0
pythia,14000000,8000,2,4.5691237449646,174.0
pythia,160000000,128000,1,inf,19.0
pythia,1000000000,64000,32,2.544977903366089,60.0
pythia,1000000000,32000,32,2.587433338165283,72.0
pythia,1000000000,2000,16,3.225752830505371,69.0
pythia,70000000,16000,1,3.777435064315796,134.0
pythia,160000000,1000,8,4.199780464172363,125.0
pythia,160000000,4000,128,2.7312777042388916,500.0
pythia,2800000000,64000,8,2.589547634124756,34.0
pythia,14000000,8000,1,4.609560966491699,131.0
pythia,410000000,1000,16,4.0973334312438965,73.0
pythia,1400000000,2000,4,3.4502344131469727,42.0
pythia,160000000,1000,128,3.3710339069366455,522.0
pythia,410000000,8000,2,3.249581813812256,64.0
pythia,1000000000,32000,8,2.796924352645874,55.0
pythia,31000000,16000,32,3.509737491607666,949.0
pythia,14000000,16000,2,4.478153705596924,176.0
pythia,14000000,8000,64,4.027475357055664,989.0
pythia,410000000,32000,16,2.778294801712036,86.0
pythia,1000000000,64000,128,2.2805399894714355,99.0
pythia,31000000,8000,1,4.168213367462158,142.0
pythia,14000000,2000,32,4.6252923011779785,1000.0
pythia,410000000,32000,8,2.8772542476654053,72.0
pythia,31000000,128000,16,inf,10.0
pythia,31000000,1000,2,5.357188701629639,267.0
pythia,410000000,32000,128,2.377408981323242,162.0
pythia,1400000000,2000,8,3.335920572280884,47.0
pythia,410000000,2000,128,2.8657705783843994,179.0
pythia,14000000,4000,128,4.138645172119141,999.0
pythia,2800000000,128000,4,2.577880859375,26.0
pythia,1400000000,4000,2,3.2470386028289795,36.0
pythia,1400000000,4000,4,3.1273741722106934,42.0
pythia,14000000,1000,8,5.580846309661865,993.0
pythia,31000000,128000,1,inf,19.0
pythia,70000000,32000,64,3.0379233360290527,644.0
pythia,31000000,8000,16,3.74385666847229,701.0
pythia,1000000000,128000,16,2.574672222137451,37.0
pythia,31000000,64000,64,3.3404383659362793,481.0
pythia,1400000000,64000,128,2.1937127113342285,81.0
pythia,1400000000,8000,128,2.336977481842041,103.0
pythia,410000000,16000,16,2.8349339962005615,89.0
pythia,14000000,2000,1,5.069488048553467,233.0
pythia,2800000000,16000,32,2.475635051727295,51.0
pythia,31000000,64000,128,3.1967711448669434,515.0
pythia,14000000,8000,4,4.494142055511475,274.0
pythia,160000000,2000,8,3.631190776824951,141.0
pythia,70000000,1000,16,4.118679046630859,553.0
pythia,410000000,64000,32,2.605438470840454,89.0
pythia,14000000,64000,64,4.026180267333984,234.0
pythia,1400000000,16000,2,2.9660837650299072,44.0
pythia,160000000,16000,8,3.177137613296509,127.0
pythia,2800000000,16000,128,2.212388038635254,74.0
pythia,2800000000,2000,64,2.7885212898254395,69.0
pythia,14000000,64000,16,4.143135070800781,292.0
pythia,160000000,8000,8,3.253751754760742,144.0
pythia,1400000000,16000,4,2.8543081283569336,49.0
pythia,14000000,32000,8,4.24543571472168,315.0
